filename,combo,precinct_num,precinct_name,party,governor_vote
Pre_024-Habersham North-4109.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2578.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0409.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3100.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-3114.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1703.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-1717.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3841.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-3672.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2587.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0390.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-3699.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1930.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-1924.tif,024,01,Habersham North,Rep,Chris Carr
