filename,combo,precinct_num,precinct_name,party,governor_vote
Pre_035-Demorest-0109.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0096.tif,035,03,Demorest,Dem,Jason Esteves
Pre_035-Demorest-0121.tif,035,03,Demorest,Rep,Gregg Kirkpatrick
Pre_035-Demorest-0137.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0135.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0082.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0069.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0294.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0055.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0041.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0280.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0257.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0281.tif,035,03,Demorest,Dem,Keisha Lance Bottoms
Pre_035-Demorest-0243.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0295.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0242.tif,035,03,Demorest,Rep,Brad Raffensperger
Pre_035-Demorest-0256.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0040.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0054.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0068.tif,035,03,Demorest,Rep,Brad Raffensperger
Pre_035-Demorest-0083.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0097.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0134.tif,035,03,Demorest,Rep,Brad Raffensperger
Pre_035-Demorest-0108.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0120.tif,035,03,Demorest,Rep,Brad Raffensperger
Pre_035-Demorest-0124.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0130.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0118.tif,035,03,Demorest,Rep,BLANK CONTEST
Pre_035-Demorest-0093.tif,035,03,Demorest,Rep,Chris Carr
Pre_035-Demorest-0078.tif,035,03,Demorest,Dem,Keisha Lance Bottoms
Pre_035-Demorest-0050.tif,035,03,Demorest,Rep,Burt Jones
Pre_035-Demorest-0044.tif,035,03,Demorest,Rep,Chris Carr
Pre_035-Demorest-0291.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0252.tif,035,03,Demorest,Rep,Chris Carr
Pre_035-Demorest-0285.tif,035,03,Demorest,Rep,[unread]
Pre_035-Demorest-0246.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0253.tif,035,03,Demorest,Dem,Keisha Lance Bottoms
Pre_035-Demorest-0247.tif,035,03,Demorest,Rep,Rick Jackson
Pre_035-Demorest-0284.tif,035,03,Demorest,Dem,Geoff Duncan
Pre_035-Demorest-0086.tif,035,03,Demorest,Dem,Michael ”Mike” Thurmond
