snapshot_time_et,snapshot_date,source_layer,ObjectID,GlobalID,EditDate,precinct_name,precinct_location_name,precinct_address,precinct_open_closed,wait_current,lon,lat
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,35,6a4df7bd-49c5-4f96-91a9-81796e3a80c9,1779195427245,07B & 07C,Sarah R. Smith Elem School Intermediate Campus,"4141 Wieuca Road NE , Atlanta, GA 30342",Open,0.0,-84.371581,33.86546599999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,36,f16e9584-6e48-4a94-8c0a-ca12dd8bf9c4,1779187583639,07D & 07E & 07N & 08M,Buckhead Library,"269 Buckhead Avenue NE , Atlanta, GA  30305",Open,0.0,-84.37841,33.838365
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,37,72ea8274-990c-43a3-b458-ac526baf3fd5,1779193984864,07F & 07F1 & 07J & 08G,Cathedral of Saint Philip,"2744 Peachtree Road NW , Atlanta, GA  30305",Open,7.0,-84.38740199999998,33.830603
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,38,accb7a98-61a6-4886-bbf4-54dc43433875,1779192223514,08A & 08B & 08C & 08C1,Sutton Middle Six Grade Campus,"4360 Powers Ferry Road , Atlanta, GA 30327",Open,0.0,-84.39995300000001,33.873779
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,39,9f880a48-d210-4a7c-bb2b-7b4e5cb8ffb5,1779191115676,08D   ,Northside Branch Library,"3295 Northside Parkway NW , Atlanta, GA  30327",Open,0.0,-84.425415,33.845121999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,40,4c8dda8c-3880-4a60-8a9b-7d6630623761,1779192572338,08E & 08F1 & 08N1 & 08N2,Trinity Presbyterian Church,"3003 Howell Mill Road NW , Atlanta, GA  30327",Open,0.0,-84.417576,33.837112999999995
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,41,5087ed13-9697-4e1f-ae52-25c6cb4f60db,1779190437154,08F2 & 09F,Trinity Angelican Church,"2260 Defoor Hills Road NW , Atlanta, GA 30318",Open,0.0,-84.435108,33.815950999999984
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,42,81583206-52b4-46a6-aba7-a742d6a29fe1,1776445444116,08H & 08J & 08K,Sutton Middle School,"2875 Northside Drive , Atlanta, GA  30305",Open,0.0,-84.406396,33.832477999999995
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,43,40dfed90-3701-42f6-bfaf-1716f8116a8e,1776445444116,09A & 09J,Bolton Academy ,"2268 Adams Drive , Atlanta, GA 30318",Open,0.0,-84.45535499999998,33.817544999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,44,6995bb9e-5cd0-4984-9970-32afc3c890bd,1779195640267,09B & 09M & 09N,Springfield Missionary Baptist Church,"1730 Hollywood Road , Atlanta, GA 30318",Open,0.0,-84.470098,33.802977999999996
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,45,64a5c786-a9f8-4f68-8717-7bc289d805ff,1779193417755,09C & 10E & 10P & FC02,Jackson Memorial Baptist Church,"534 Fairburn Road NW , Atlanta, GA  30331",Open,0.0,-84.500915,33.76945299999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,46,fc143c52-503f-45ec-a754-36d125ed18b1,1779193984864,09K & 09K1 & 09L,Northwest Library at Scotts Crossings,"2489 Perry Boulevard NW , Atlanta, GA  30318",Open,0.0,-84.469456,33.8052
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,47,e3cd2c2e-6ccc-4d56-a4a0-f565dcf6e92c,1779192430259,10A & 10C & 10D & 10D1 & 10D2 & 10R,C.T. Martin Recreation Center ,"3201 Martin Luther King Jr Dr SW , Atlanta, GA  30311",Open,0.0,-84.491949,33.754131999999984
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,48,5b185e5e-cf44-4003-aa75-d1917984549f,1779194267796,10B & 10B1 & 10I,West Manor Park - AF Recreation Center,"3240 West Manor Circle , Atlanta, GA  30311",Open,0.0,-84.492,33.735192000000005
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,49,908a5f85-8a68-4246-9d33-e6d4fde2074c,1779194059554,10G & 10H1 & 10H2 & 10J,St. Paul's Episcopal Church,"306 Peyton Road , Atlanta, GA  30311",Open,0.0,-84.47654,33.74709299999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,50,7f197dce-25e3-434b-934d-dfd98570ba14,1779195640267,10K & 11H & 11K ,Adams Park Recreation Center,"1620 Delowe Drive , Atlanta, GA 30311",Open,0.0,-84.462237,33.711978
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,51,3cd92522-cacf-4a45-9b98-667fbd13638e,1779195850490,11B & 11B1 & 11B3 & 11N & 11P,Believers Bible Christian Church,"3689 Campbellton Road , Atlanta, GA 30331",Open,0.0,-84.50922900000002,33.69007899999999
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,52,4a36ff16-7ce8-4dbd-8be8-596d8779d979,1776445444116,11C & 11C2 & 11C3 & SC14A & SC30A/B,Evelyn Lowery Library at Cascade,"3665 Cascade Road , South Fulton, GA  30331",Open,0.0,-84.50777,33.723199
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,53,e73c5fbd-e757-425b-87c4-6e0e3617a4ce,1779193137293,11E1 & 11E2 & 11E3,William Walker Recreation Center,"2405 Fairburn Road , Atlanta, GA  30331",Open,0.0,-84.51291399999998,33.688909
2026-05-19T09:05:31-04:00,2026-05-19,fulton_may2026_precincts,54,e9002b44-23c5-4f9e-b881-ac78dd558305,1776445444116,11G & 12i & 12L,Adams Park Library,"2231 Campbellton Road SW , Atlanta, GA  30311",Open,0.0,-84.461684,33.705732999999995
